S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KAPURSINGH,Indian National Congress,8881,23,8904,4.25
2,SUBHASH TAMBOLIYA,Bharatiya Janata Party,70115,1024,71139,33.92
3,JAIKRISHN PATEL,Bharat Adivasi Party,121423,1150,122573,58.45
4,NOTA,None of the Above,7080,12,7092,3.38
