S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,NARASIMHA NAYAK,Bharatiya Janata Party,96052,514,96566,44.85
2,RAJA VENUGOPAL NAIK,Indian National Congress,114290,596,114886,53.36
3,ASHOKA,Independent,1612,0,1612,0.75
4,VENUGOPAL,Independent,512,2,514,0.24
5,VENKATAPPA NAYAK,Independent,447,0,447,0.21
6,SHASHIKUMAR,Independent,426,0,426,0.2
7,NOTA,None of the Above,844,4,848,0.39
