S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DR. C. J. CHAVDA,Bharatiya Janata Party,99083,1558,100641,67.49
2,DINESHBHAI TULSIBHAI PATEL,Indian National Congress,43393,1020,44413,29.78
3,ANKITKUMAR HARSHADBHAI GOHIL,Independent,960,4,964,0.65
4,CHAUHAN DINUSINH LAXMANSINH,Independent,367,11,378,0.25
5,CHAUHAN HARSHADKUMAR PURUSHOTTAMBHAI,Independent,313,1,314,0.21
6,PATEL TRUSHALKUMAR ARVINDBHAI,Independent,532,11,543,0.36
7,PARMAR ARVINDBHAI JIVANBHAI,Independent,316,5,321,0.22
8,SAIYAD MUNAFALI KADARALI,Independent,346,1,347,0.23
9,NOTA,None of the Above,1140,55,1195,0.8
