S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DEVINDER SINGH (JAGGI),Indian National Congress,21918,622,22540,36.19
2,SUDHIR SHARMA,Bharatiya Janata Party,27529,537,28066,45.06
3,RAKESH CHAUDHARY,Independent,10637,133,10770,17.29
4,SATISH KUMAR,Independent,409,13,422,0.68
5,NOTA,None of the Above,471,11,482,0.77
